"Relative Time (Process)","desert-sweep-6 - _step","desert-sweep-6 - _step__MIN","desert-sweep-6 - _step__MAX","desert-sweep-6 - Regret","desert-sweep-6 - Regret__MIN","desert-sweep-6 - Regret__MAX","robust-sweep-5 - _step","robust-sweep-5 - _step__MIN","robust-sweep-5 - _step__MAX","robust-sweep-5 - Regret","robust-sweep-5 - Regret__MIN","robust-sweep-5 - Regret__MAX","golden-sweep-4 - _step","golden-sweep-4 - _step__MIN","golden-sweep-4 - _step__MAX","golden-sweep-4 - Regret","golden-sweep-4 - Regret__MIN","golden-sweep-4 - Regret__MAX","twilight-sweep-3 - _step","twilight-sweep-3 - _step__MIN","twilight-sweep-3 - _step__MAX","twilight-sweep-3 - Regret","twilight-sweep-3 - Regret__MIN","twilight-sweep-3 - Regret__MAX","solar-sweep-2 - _step","solar-sweep-2 - _step__MIN","solar-sweep-2 - _step__MAX","solar-sweep-2 - Regret","solar-sweep-2 - Regret__MIN","solar-sweep-2 - Regret__MAX"
"39.45825433731079","","","","","","","","","","","","","","","","","","","162","162","162","1.6581656999958168","1.6581656999958168","1.6581656999958168","","","","","",""
"41.14084482192993","","","","","","","162","162","162","1.7581913871475339","1.7581913871475339","1.7581913871475339","","","","","","","","","","","","","","","","","",""
"41.20924425125122","","","","","","","","","","","","","","","","","","","","","","","","","162","162","162","0.15020732763071654","0.15020732763071654","0.15020732763071654"
"44.12864351272583","","","","","","","","","","","","","162","162","162","1.4889814264960972","1.4889814264960972","1.4889814264960972","","","","","","","","","","","",""
"46.206666231155396","162","162","162","1.5774401815813108","1.5774401815813108","1.5774401815813108","","","","","","","","","","","","","","","","","","","","","","","",""
"64.07090163230896","","","","","","","484","484","484","1.8810890141358858","1.8810890141358858","1.8810890141358858","","","","","","","","","","","","","","","","","",""
"65.73968076705933","","","","","","","","","","","","","","","","","","","","","","","","","484","484","484","0.12158760089334489","0.12158760089334489","0.12158760089334489"
"66.63520216941833","","","","","","","","","","","","","","","","","","","484","484","484","1.7129484408394124","1.7129484408394124","1.7129484408394124","","","","","",""
"67.40758967399597","","","","","","","","","","","","","484","484","484","1.665695579963126","1.665695579963126","1.665695579963126","","","","","","","","","","","",""
"69.37410688400269","484","484","484","1.873278427929134","1.873278427929134","1.873278427929134","","","","","","","","","","","","","","","","","","","","","","","",""
"87.38079071044922","","","","","","","806","806","806","1.7726604777566282","1.7726604777566282","1.7726604777566282","","","","","","","","","","","","","","","","","",""
"89.58769130706787","","","","","","","","","","","","","806","806","806","1.7953706660656257","1.7953706660656257","1.7953706660656257","","","","","","","","","","","",""
"90.61837315559387","","","","","","","","","","","","","","","","","","","806","806","806","1.7437310464690077","1.7437310464690077","1.7437310464690077","","","","","",""
"90.75902152061462","","","","","","","","","","","","","","","","","","","","","","","","","806","806","806","0.11667300482001393","0.11667300482001393","0.11667300482001393"
"92.15867209434509","806","806","806","1.766875676289878","1.766875676289878","1.766875676289878","","","","","","","","","","","","","","","","","","","","","","","",""
"109.75473356246948","","","","","","","1128","1128","1128","1.8822711607342493","1.8822711607342493","1.8822711607342493","","","","","","","","","","","","","","","","","",""
"112.16912627220154","","","","","","","","","","","","","1128","1128","1128","1.8509885802405504","1.8509885802405504","1.8509885802405504","","","","","","","","","","","",""
"114.42907786369324","","","","","","","","","","","","","","","","","","","1128","1128","1128","1.5746428425094294","1.5746428425094294","1.5746428425094294","","","","","",""
"114.89251446723938","1128","1128","1128","1.819654649231889","1.819654649231889","1.819654649231889","","","","","","","","","","","","","","","","","","","","","","","",""
"115.1763904094696","","","","","","","","","","","","","","","","","","","","","","","","","1128","1128","1128","0.10474546615204573","0.10474546615204573","0.10474546615204573"
"133.33680391311646","","","","","","","1450","1450","1450","1.5231561242929874","1.5231561242929874","1.5231561242929874","","","","","","","","","","","","","","","","","",""
"137.0802662372589","","","","","","","","","","","","","","","","","","","1450","1450","1450","1.776591018025997","1.776591018025997","1.776591018025997","","","","","",""
"137.69801545143127","1450","1450","1450","1.7662013989426977","1.7662013989426977","1.7662013989426977","","","","","","","","","","","","","","","","","","","","","","","",""
"141.15516829490662","","","","","","","","","","","","","","","","","","","","","","","","","1450","1450","1450","0.10976723076362352","0.10976723076362352","0.10976723076362352"
"141.6440110206604","","","","","","","","","","","","","1450","1450","1450","1.5108651057129516","1.5108651057129516","1.5108651057129516","","","","","","","","","","","",""
"157.6332654953003","","","","","","","1772","1772","1772","1.6894250016673562","1.6894250016673562","1.6894250016673562","","","","","","","","","","","","","","","","","",""
"160.55865812301636","1772","1772","1772","1.8730171391924038","1.8730171391924038","1.8730171391924038","","","","","","","","","","","","","","","","","","","","","","","",""
"160.96656727790833","","","","","","","","","","","","","","","","","","","1772","1772","1772","1.636684204966852","1.636684204966852","1.636684204966852","","","","","",""
"164.20674085617065","","","","","","","","","","","","","1772","1772","1772","1.8602724646808766","1.8602724646808766","1.8602724646808766","","","","","","","","","","","",""
"165.8738763332367","","","","","","","","","","","","","","","","","","","","","","","","","1772","1772","1772","0.10763507967729935","0.10763507967729935","0.10763507967729935"
"182.1632103919983","","","","","","","2094","2094","2094","1.7762135670385195","1.7762135670385195","1.7762135670385195","","","","","","","","","","","","","","","","","",""
"183.1527328491211","2094","2094","2094","1.739592091329464","1.739592091329464","1.739592091329464","","","","","","","","","","","","","","","","","","","","","","","",""
"184.9886519908905","","","","","","","","","","","","","","","","","","","2094","2094","2094","1.9517600202134784","1.9517600202134784","1.9517600202134784","","","","","",""
"187.81451535224915","","","","","","","","","","","","","2094","2094","2094","1.8363206749367234","1.8363206749367234","1.8363206749367234","","","","","","","","","","","",""
"189.5943431854248","","","","","","","","","","","","","","","","","","","","","","","","","2094","2094","2094","0.10249346630411917","0.10249346630411917","0.10249346630411917"
"206.0105082988739","","","","","","","2416","2416","2416","1.8435466284926085","1.8435466284926085","1.8435466284926085","","","","","","","","","","","","","","","","","",""
"206.2649838924408","2416","2416","2416","1.688994243605932","1.688994243605932","1.688994243605932","","","","","","","","","","","","","","","","","","","","","","","",""
"208.65061974525452","","","","","","","","","","","","","","","","","","","2416","2416","2416","1.9170027835405437","1.9170027835405437","1.9170027835405437","","","","","",""
"210.92248940467834","","","","","","","","","","","","","2416","2416","2416","1.8233988978072067","1.8233988978072067","1.8233988978072067","","","","","","","","","","","",""
"213.2910795211792","","","","","","","","","","","","","","","","","","","","","","","","","2416","2416","2416","0.10330498721530733","0.10330498721530733","0.10330498721530733"
"229.09112167358398","","","","","","","2738","2738","2738","1.7076906252931672","1.7076906252931672","1.7076906252931672","","","","","","","","","","","","","","","","","",""
"231.7559950351715","","","","","","","","","","","","","","","","","","","2738","2738","2738","1.5578406394039916","1.5578406394039916","1.5578406394039916","","","","","",""
"233.7994246482849","","","","","","","","","","","","","2738","2738","2738","1.8158382285974795","1.8158382285974795","1.8158382285974795","","","","","","","","","","","",""
"235.8209192752838","2738","2738","2738","1.7380528895715053","1.7380528895715053","1.7380528895715053","","","","","","","","","","","","","","","","","","","","","","","",""
"237.8263063430786","","","","","","","","","","","","","","","","","","","","","","","","","2738","2738","2738","0.1012022406059771","0.1012022406059771","0.1012022406059771"
"251.75410270690918","","","","","","","3060","3060","3060","1.8312212205358473","1.8312212205358473","1.8312212205358473","","","","","","","","","","","","","","","","","",""
"257.5588195323944","","","","","","","","","","","","","3060","3060","3060","1.7723560985877531","1.7723560985877531","1.7723560985877531","","","","","","","","","","","",""
"257.7552011013031","","","","","","","","","","","","","","","","","","","3060","3060","3060","1.8233296677579915","1.8233296677579915","1.8233296677579915","","","","","",""
"258.5743327140808","3060","3060","3060","1.839485782600764","1.839485782600764","1.839485782600764","","","","","","","","","","","","","","","","","","","","","","","",""
"262.3277988433838","","","","","","","","","","","","","","","","","","","","","","","","","3060","3060","3060","0.09800698757250362","0.09800698757250362","0.09800698757250362"
"266.3668677806854","","","","","","","3222","3222","3222","1.7160660475230889","1.7160660475230889","1.7160660475230889","","","","","","","","","","","","","","","","","",""
"272.6500954627991","","","","","","","","","","","","","3222","3222","3222","1.7799972003961668","1.7799972003961668","1.7799972003961668","","","","","","","","","","","",""
"272.8447380065918","3222","3222","3222","1.906120673977105","1.906120673977105","1.906120673977105","","","","","","","","","","","","","","","","","","","","","","","",""
"273.5057339668274","","","","","","","","","","","","","","","","","","","3222","3222","3222","1.6718462658165418","1.6718462658165418","1.6718462658165418","","","","","",""
"278.159175157547","","","","","","","","","","","","","","","","","","","","","","","","","3222","3222","3222","0.093373099520046","0.093373099520046","0.093373099520046"